,ssuid,spanel,swave,srefmon,rhcalmn,rhcalyr,tfipsst,epppnum,esex,wpfinwgt,tage,eeducate,rmesr,birth_month,ECLWRK1,EDISABL,EDISPREV,EENO1,EENO2,EJBHRS1,EJBIND1,EOCCTIM1,EPDJBTHN,ERSEND1,ESTLEMP1,ESTLEMP2,RFNKIDS,TJBOCC1,TPMSUM1,TPYRATE1
26,19344796930,2004,1,3,1,2004,12,103,2,5131.0938,41,44,8,2004-03-01,1,2,-1,,-1.0,40,9070,2,1,-1,,-1.0,2,4740,0,7.0
27,19344796930,2004,1,4,2,2004,12,103,2,5098.2598,41,44,1,2004-03-01,1,2,-1,,-1.0,40,9070,2,1,-1,,-1.0,2,4740,1212,7.0
28,19379717046,2004,1,1,11,2003,12,101,2,3571.3989,31,44,1,2004-12-01,1,2,-1,,-1.0,15,8680,120,1,-1,,-1.0,2,2820,231,0.0
29,19379717046,2004,1,2,12,2003,12,101,2,3619.2,31,44,1,2004-12-01,1,2,-1,,-1.0,15,8680,120,1,-1,,-1.0,2,2820,300,0.0
30,19379717046,2004,1,3,1,2004,12,101,2,3611.2625,31,44,1,2004-12-01,1,2,-1,,-1.0,15,8680,120,1,-1,,-1.0,2,2820,400,0.0
31,19379717046,2004,1,4,2,2004,12,101,2,3606.53,31,44,1,2004-12-01,1,2,-1,,-1.0,15,8680,120,1,-1,,-1.0,2,2820,500,0.0
32,19454651480,2004,1,1,11,2003,12,103,2,3955.812,28,37,8,2006-03-01,1,2,-1,,-1.0,-8,8680,1,1,-1,,-1.0,2,4110,0,2.13
33,19454651480,2004,1,2,12,2003,12,103,2,3907.5193,29,37,8,2006-03-01,1,2,-1,,-1.0,-8,8680,1,1,-1,,-1.0,2,4110,0,2.13
34,19454651480,2004,1,3,1,2004,12,103,2,3789.0012,29,37,8,2006-03-01,1,2,-1,,-1.0,-8,8680,1,1,-1,,-1.0,2,4110,0,2.13
35,19454651480,2004,1,4,2,2004,12,103,2,3775.4883,29,37,4,2006-03-01,1,2,-1,,-1.0,-8,8680,1,1,-1,,-1.0,2,4110,866,2.13
36,19860000276,2004,1,1,11,2003,12,101,2,3992.71,26,44,1,2004-03-01,1,2,-1,,-1.0,40,7380,48,1,-1,,-1.0,0,2630,3333,0.0
37,19860000276,2004,1,2,12,2003,12,101,2,4001.1519,26,44,1,2004-03-01,1,2,-1,,-1.0,40,7380,48,1,-1,,-1.0,0,2630,3333,0.0
38,19860000276,2004,1,3,1,2004,12,101,2,4008.9158,27,44,1,2004-03-01,1,2,-1,,-1.0,40,7380,48,1,-1,,-1.0,0,2630,3333,0.0
39,19860000276,2004,1,4,2,2004,12,101,2,3978.9426,27,44,1,2004-03-01,1,2,-1,,-1.0,40,7380,48,1,-1,,-1.0,0,2630,3333,0.0
40,19925123089,2004,1,1,11,2003,12,101,2,3922.8967,24,41,8,2004-08-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
41,19925123089,2004,1,2,12,2003,12,101,2,3753.4756,25,41,8,2004-08-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
42,19925123089,2004,1,3,1,2004,12,101,2,3740.2085,25,41,8,2004-08-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
43,19925123089,2004,1,4,2,2004,12,101,2,3703.1763,25,41,8,2004-08-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
44,19925130054,2004,1,1,11,2003,12,101,2,3724.9082,25,39,1,2005-07-01,1,2,-1,,-1.0,37,7980,18,1,-1,,-1.0,3,3650,1598,10.0
45,19925130054,2004,1,2,12,2003,12,101,2,3692.5012,25,39,1,2005-07-01,1,2,-1,,-1.0,37,7980,18,1,-1,,-1.0,3,3650,1598,10.0
46,19925130054,2004,1,3,1,2004,12,101,2,3679.4492,25,39,1,2005-07-01,1,2,-1,,-1.0,37,7980,18,1,-1,,-1.0,3,3650,1598,10.0
47,19925130054,2004,1,4,2,2004,12,101,2,3643.0188,25,39,1,2005-07-01,1,2,-1,,-1.0,37,7980,18,1,-1,,-1.0,3,3650,1598,10.0
48,19925130235,2004,1,1,11,2003,12,101,2,4028.2544,31,46,1,2006-07-01,1,2,-1,,-1.0,35,8680,6,1,-1,,-1.0,0,4720,858,7.0
49,19925130235,2004,1,2,12,2003,12,101,2,4032.6438,31,46,1,2006-07-01,1,2,-1,,-1.0,35,8680,6,1,-1,,-1.0,0,4720,1287,7.0
50,19925130235,2004,1,3,1,2004,12,101,2,4034.4719,31,46,1,2006-07-01,1,2,-1,,-1.0,35,8680,6,1,-1,,-1.0,0,4720,858,7.0
51,19925130235,2004,1,4,2,2004,12,101,2,4003.5371,31,46,1,2006-07-01,1,2,-1,,-1.0,35,8680,6,1,-1,,-1.0,0,4720,858,7.0
52,19925181647,2004,1,1,11,2003,12,101,2,2149.2361,28,39,8,2004-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,4,-1,0,0.0
53,19925181647,2004,1,2,12,2003,12,101,2,2120.4668,28,39,8,2004-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,4,-1,0,0.0
54,19925181647,2004,1,3,1,2004,12,101,2,2176.3789,28,39,8,2004-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,4,-1,0,0.0
55,19925181647,2004,1,4,2,2004,12,101,2,2198.1545,28,39,8,2004-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,5,-1,0,0.0
56,19925241521,2004,1,1,11,2003,12,101,2,3556.7585,29,40,8,2004-07-01,-1,1,2,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
57,19925241521,2004,1,2,12,2003,12,101,2,3564.2788,29,40,8,2004-07-01,-1,1,2,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
58,19925241521,2004,1,3,1,2004,12,101,2,3571.1948,29,40,8,2004-07-01,-1,1,2,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
59,19925241521,2004,1,4,2,2004,12,101,2,3544.4941,29,40,8,2004-07-01,-1,1,2,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
60,19925241531,2004,1,1,11,2003,12,101,2,3713.1558,27,44,1,2003-12-01,1,2,-1,,-1.0,40,6870,96,1,-1,,-1.0,0,910,3250,0.0
61,19925241531,2004,1,2,12,2003,12,101,2,3725.6973,27,44,1,2003-12-01,1,2,-1,,-1.0,40,6870,96,1,-1,,-1.0,0,910,3250,0.0
62,19925241531,2004,1,3,1,2004,12,101,2,3702.2373,27,44,1,2003-12-01,1,2,-1,,-1.0,40,6870,96,1,-1,,-1.0,1,910,3250,0.0
63,19925241531,2004,1,4,2,2004,12,101,2,3689.2102,27,44,1,2003-12-01,1,2,-1,,-1.0,40,6870,96,1,-1,,-1.0,1,910,3250,0.0
64,19925392535,2004,1,1,11,2003,12,101,2,2862.2866,40,39,1,2005-06-01,1,2,-1,,-1.0,40,5090,204,1,-1,,-1.0,3,4720,1300,10.0
65,19925392535,2004,1,2,12,2003,12,101,2,2897.8289,40,39,1,2005-06-01,1,2,-1,,-1.0,40,5090,204,1,-1,,-1.0,3,4720,1300,10.0
66,19925392535,2004,1,3,1,2004,12,101,2,2983.5884,41,39,1,2005-06-01,1,2,-1,,-1.0,40,5090,204,1,-1,,-1.0,3,4720,1300,10.0
67,19925392535,2004,1,4,2,2004,12,101,2,3182.0422,41,39,1,2005-06-01,1,2,-1,,-1.0,40,5090,204,1,-1,,-1.0,3,4720,1300,10.0
68,19925392979,2004,1,1,11,2003,12,102,2,3475.9204,40,44,8,2003-11-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
69,19925392979,2004,1,2,12,2003,12,102,2,3500.4692,40,44,8,2003-11-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
70,19925392979,2004,1,3,1,2004,12,102,2,3504.0159,40,44,8,2003-11-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
71,19925392979,2004,1,4,2,2004,12,102,2,3496.7781,40,44,8,2003-11-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
72,19925495629,2004,1,1,11,2003,12,101,2,5173.9678,30,39,8,2004-03-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
73,19925495629,2004,1,2,12,2003,12,101,2,5272.1401,30,39,8,2004-03-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
74,19925495629,2004,1,3,1,2004,12,101,2,5328.5615,30,39,8,2004-03-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
75,19925495629,2004,1,4,2,2004,12,101,2,5276.4248,31,39,8,2004-03-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
76,19925514916,2004,1,1,11,2003,12,101,2,2570.4812,30,39,8,2004-02-01,1,2,-1,,-1.0,40,7690,60,1,-1,,-1.0,4,4220,0,7.52
77,19925514916,2004,1,2,12,2003,12,101,2,2626.0791,30,39,8,2004-02-01,1,2,-1,,-1.0,40,7690,60,1,-1,,-1.0,4,4220,0,7.52
78,19925514916,2004,1,3,1,2004,12,101,2,2677.2988,30,39,5,2004-02-01,1,2,-1,,-1.0,40,7690,60,1,-1,,-1.0,4,4220,0,7.52
79,19925514916,2004,1,4,2,2004,12,101,2,2640.4348,30,39,2,2004-02-01,1,2,-1,,-1.0,40,7690,60,1,-1,,-1.0,5,4220,0,7.52
80,19925651054,2004,1,1,11,2003,12,101,2,2504.658,31,47,1,2004-09-01,-1,2,-1,,-1.0,-1,-1,-1,1,-1,,-1.0,1,-1,0,0.0
81,19925651054,2004,1,2,12,2003,12,101,2,2507.3877,31,47,1,2004-09-01,-1,2,-1,,-1.0,-1,-1,-1,1,-1,,-1.0,1,-1,0,0.0
82,19925651054,2004,1,3,1,2004,12,101,2,2508.5239,31,47,1,2004-09-01,-1,2,-1,,-1.0,-1,-1,-1,1,-1,,-1.0,1,-1,0,0.0
83,19925651054,2004,1,4,2,2004,12,101,2,2489.2891,31,47,1,2004-09-01,-1,2,-1,,-1.0,-1,-1,-1,1,-1,,-1.0,1,-1,0,0.0
84,19925690276,2004,1,1,11,2003,12,102,2,4554.1743,28,44,8,2004-03-01,-1,1,1,,-1.0,-1,-1,-1,2,-1,,-1.0,0,-1,0,0.0
85,19925690276,2004,1,2,12,2003,12,102,2,4362.8428,28,44,8,2004-03-01,-1,1,1,,-1.0,-1,-1,-1,2,-1,,-1.0,0,-1,0,0.0
86,19925690276,2004,1,3,1,2004,12,102,2,4213.7524,28,44,8,2004-03-01,-1,1,1,,-1.0,-1,-1,-1,2,-1,,-1.0,0,-1,0,0.0
87,19925690276,2004,1,4,2,2004,12,102,2,4288.332,28,44,8,2004-03-01,-1,1,1,,-1.0,-1,-1,-1,2,-1,,-1.0,0,-1,0,0.0
88,19925701483,2004,1,1,11,2003,12,102,2,3574.8032,31,43,1,2004-07-01,1,2,-1,,-1.0,40,7380,72,1,-1,,-1.0,1,1010,3637,0.0
89,19925701483,2004,1,2,12,2003,12,102,2,3617.1533,31,43,1,2004-07-01,1,2,-1,,-1.0,40,7380,72,1,-1,,-1.0,1,1010,3637,0.0
90,19925701483,2004,1,3,1,2004,12,102,2,3724.5464,31,43,1,2004-07-01,1,2,-1,,-1.0,40,7380,72,1,-1,,-1.0,1,1010,3637,0.0
91,19925701483,2004,1,4,2,2004,12,102,2,3663.5771,31,43,1,2004-07-01,1,2,-1,,-1.0,40,7380,72,1,-1,,-1.0,1,1010,3637,0.0
92,203128000276,2004,1,1,1,2004,12,101,2,3665.2742,32,44,1,2005-09-01,1,2,-1,,-1.0,30,8660,84,1,-1,,-1.0,2,4520,866,0.0
93,203128000276,2004,1,2,2,2004,12,101,2,3773.5767,32,44,1,2005-09-01,1,2,-1,,-1.0,30,8660,84,1,-1,,-1.0,2,4520,823,0.0
94,203128000276,2004,1,3,3,2004,12,101,2,3773.469,33,44,1,2005-09-01,1,2,-1,,-1.0,30,8660,84,1,-1,,-1.0,2,4520,823,0.0
95,203128000276,2004,1,4,4,2004,12,101,2,3685.97,33,44,1,2005-09-01,1,2,-1,,-1.0,30,8660,84,1,-1,,-1.0,2,4520,823,0.0
96,203228123862,2004,1,1,1,2004,12,101,2,1995.5024,27,39,8,2004-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,7,-1,0,0.0
97,203228123862,2004,1,2,2,2004,12,101,2,2029.5278,27,39,8,2004-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,7,-1,0,0.0
98,203228123862,2004,1,3,3,2004,12,101,2,2051.4211,27,39,8,2004-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,7,-1,0,0.0
99,203228123862,2004,1,4,4,2004,12,101,2,2049.4773,27,39,8,2004-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,7,-1,0,0.0
100,203228266791,2004,1,1,1,2004,12,101,2,2812.8594,26,40,8,2006-07-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
101,203228266791,2004,1,2,2,2004,12,101,2,2773.3645,26,40,8,2006-07-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
102,203228266791,2004,1,3,3,2004,12,101,2,2791.9043,26,40,8,2006-07-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
103,203228266791,2004,1,4,4,2004,12,101,2,2834.9741,26,40,8,2006-07-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
104,203228644707,2004,1,1,1,2004,12,102,2,3010.437,26,39,8,2005-03-01,1,2,-1,,-1.0,40,4970,2,1,-1,,-1.0,0,4720,0,5.5
105,203228644707,2004,1,2,2,2004,12,102,2,3082.6094,26,39,8,2005-03-01,1,2,-1,,-1.0,40,4970,2,1,-1,,-1.0,0,4720,0,5.5
106,203228644707,2004,1,3,3,2004,12,102,2,3216.2756,26,39,1,2005-03-01,1,2,-1,,-1.0,40,4970,2,1,-1,,-1.0,0,4720,700,5.5
107,203228644707,2004,1,4,4,2004,12,102,2,3271.533,26,39,1,2005-03-01,1,2,-1,,-1.0,40,4970,2,1,-1,,-1.0,0,4720,700,5.5
108,203228837707,2004,1,1,1,2004,12,101,2,2727.1992,33,40,8,2007-05-01,1,2,-1,,-1.0,40,8680,1,1,-1,,-1.0,1,4020,0,6.5
109,203228837707,2004,1,2,2,2004,12,101,2,2697.9961,33,40,8,2007-05-01,1,2,-1,,-1.0,40,8680,1,1,-1,,-1.0,1,4020,0,6.5
110,203228837707,2004,1,3,3,2004,12,101,2,2698.231,33,40,8,2007-05-01,1,2,-1,,-1.0,40,8680,1,1,-1,,-1.0,1,4020,0,6.5
111,203228837707,2004,1,4,4,2004,12,101,2,2707.0552,33,40,4,2007-05-01,1,2,-1,,-1.0,40,8680,1,1,-1,,-1.0,1,4020,675,6.5
112,203344167140,2004,1,1,1,2004,12,101,2,2584.8533,35,39,8,2007-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
113,203344167140,2004,1,2,2,2004,12,101,2,2520.6152,35,39,8,2007-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
114,203344167140,2004,1,3,3,2004,12,101,2,2532.4836,36,39,8,2007-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
115,203344167140,2004,1,4,4,2004,12,101,2,2570.967,36,39,8,2007-01-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
116,203344246080,2004,1,1,1,2004,12,102,2,3841.7402,26,39,8,2004-02-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
117,203344246080,2004,1,2,2,2004,12,102,2,3709.4634,26,39,8,2004-02-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,1,-1,0,0.0
118,203344246080,2004,1,3,3,2004,12,102,2,3782.4614,26,39,8,2004-02-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
119,203344246080,2004,1,4,4,2004,12,102,2,3740.1001,26,39,8,2004-02-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
120,203344451880,2004,1,1,1,2004,12,102,2,5454.7783,22,40,1,2007-01-01,1,2,-1,,-1.0,37,7980,18,1,-1,,-1.0,0,3640,0,12.0
121,203344451880,2004,1,2,2,2004,12,102,2,5479.9365,22,40,1,2007-01-01,1,2,-1,,-1.0,37,7980,18,1,-1,,-1.0,0,3640,0,12.0
122,203344451880,2004,1,3,3,2004,12,102,2,5355.8457,22,40,1,2007-01-01,1,2,-1,,-1.0,37,7980,18,1,-1,,-1.0,0,3640,2220,12.0
123,203344451880,2004,1,4,4,2004,12,102,2,5184.5801,22,40,1,2007-01-01,1,2,-1,,-1.0,37,7980,18,1,-1,,-1.0,0,3640,1776,12.0
124,203344467054,2004,1,1,1,2004,12,102,2,5135.9434,33,44,1,2005-12-01,4,2,-1,,-1.0,40,9370,81,1,-1,,-1.0,0,5700,2160,0.0
125,203344467054,2004,1,2,2,2004,12,102,2,5117.3018,34,44,1,2005-12-01,4,2,-1,,-1.0,40,9370,81,1,-1,,-1.0,0,5700,2160,0.0
126,203344467054,2004,1,3,3,2004,12,102,2,5102.0112,34,44,1,2005-12-01,4,2,-1,,-1.0,40,9370,81,1,-1,,-1.0,0,5700,2160,0.0
127,203344467054,2004,1,4,4,2004,12,102,2,5195.6509,34,44,1,2005-12-01,4,2,-1,,-1.0,40,9370,81,1,-1,,-1.0,0,5700,2160,0.0
128,203344467080,2004,1,1,1,2004,12,106,2,2873.1387,37,40,1,2005-01-01,1,2,-1,,-1.0,-8,1090,6,1,-1,,-1.0,2,9640,433,5.15
129,203344467080,2004,1,2,2,2004,12,106,2,2875.6943,37,40,1,2005-01-01,1,2,-1,,-1.0,-8,1090,6,1,-1,,-1.0,2,9640,433,5.15
130,203344467080,2004,1,3,3,2004,12,106,2,2799.8735,37,40,1,2005-01-01,1,2,-1,,-1.0,-8,1090,6,1,-1,,-1.0,2,9640,433,5.15
131,203344467080,2004,1,4,4,2004,12,106,2,2863.2832,37,40,1,2005-01-01,1,2,-1,,-1.0,-8,1090,6,1,-1,,-1.0,2,9640,433,5.15
132,203344467594,2004,1,1,1,2004,12,102,2,4475.501,23,40,1,2006-01-01,1,2,-1,,-1.0,-8,8660,72,1,-1,,-1.0,0,340,2400,15.85
133,203344467594,2004,1,2,2,2004,12,102,2,4632.4263,24,40,1,2006-01-01,1,2,-1,,-1.0,-8,8660,72,1,-1,,-1.0,0,340,2400,15.85
134,203344467594,2004,1,3,3,2004,12,102,2,4479.0576,24,40,1,2006-01-01,1,2,-1,,-1.0,-8,8660,72,1,-1,,-1.0,0,340,2400,15.85
135,203344467594,2004,1,4,4,2004,12,102,2,4457.5098,24,40,1,2006-01-01,1,2,-1,,-1.0,-8,8660,72,1,-1,,-1.0,0,340,2400,15.85
136,203344583099,2004,1,1,1,2004,12,101,2,2693.2676,23,38,6,2006-12-01,1,2,-1,,-1.0,-8,8680,7,1,-1,,-1.0,1,4110,0,7.0
137,203344583099,2004,1,2,2,2004,12,101,2,2762.7571,23,38,6,2006-12-01,1,2,-1,,-1.0,-8,8680,7,1,-1,,-1.0,1,4110,0,7.0
138,203344583099,2004,1,3,3,2004,12,101,2,2692.6619,23,38,5,2006-12-01,1,2,-1,,-1.0,-8,8680,7,1,-1,,-1.0,1,4110,0,7.0
139,203344583099,2004,1,4,4,2004,12,101,2,2680.5476,23,38,1,2006-12-01,1,2,-1,,-1.0,-8,8680,7,1,-1,,-1.0,1,4110,0,7.0
140,203418000344,2004,1,1,1,2004,12,102,2,3954.834,29,44,4,2004-01-01,-1,2,-1,,-1.0,50,7290,-1,1,-1,,-1.0,1,1540,160,6.75
141,203418000344,2004,1,2,2,2004,12,102,2,3918.6729,29,44,4,2004-01-01,-1,2,-1,,-1.0,50,7290,-1,1,-1,,-1.0,2,1540,160,6.75
142,203418000344,2004,1,3,3,2004,12,102,2,3974.5085,29,44,4,2004-01-01,-1,2,-1,,-1.0,50,7290,-1,1,-1,,-1.0,2,1540,160,6.75
143,203418000344,2004,1,4,4,2004,12,102,2,4006.4414,29,44,4,2004-01-01,-1,2,-1,,-1.0,50,7290,-1,1,-1,,-1.0,2,1540,160,6.75
144,203454398009,2004,1,1,1,2004,12,101,2,4752.9971,24,39,1,2004-09-01,-1,2,-1,,-1.0,-1,-1,-1,1,-1,,-1.0,0,-1,0,0.0
145,203454398009,2004,1,2,2,2004,12,101,2,4361.9077,25,39,1,2004-09-01,-1,2,-1,,-1.0,-1,-1,-1,1,-1,,-1.0,0,-1,0,0.0
146,203454398009,2004,1,3,3,2004,12,101,2,4424.0591,25,39,1,2004-09-01,-1,2,-1,,-1.0,-1,-1,-1,1,-1,,-1.0,0,-1,0,0.0
147,203454398009,2004,1,4,4,2004,12,101,2,4459.6045,25,39,1,2004-09-01,-1,2,-1,,-1.0,-1,-1,-1,1,-1,,-1.0,0,-1,0,0.0
148,203860038855,2004,1,1,1,2004,12,102,2,3482.8745,33,44,8,2005-07-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
149,203860038855,2004,1,2,2,2004,12,102,2,3480.8494,33,44,8,2005-07-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
150,203860038855,2004,1,3,3,2004,12,102,2,3473.0242,33,44,8,2005-07-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
151,203860038855,2004,1,4,4,2004,12,102,2,3488.3279,33,44,8,2005-07-01,-1,2,-1,,-1.0,-1,-1,-1,2,-1,,-1.0,2,-1,0,0.0
152,203860651647,2004,1,1,1,2004,12,102,2,2788.7539,41,36,1,2005-07-01,1,2,-1,,-1.0,50,8680,60,1,-1,,-1.0,2,4010,2311,0.0
153,203860651647,2004,1,2,2,2004,12,102,2,2736.6531,41,36,1,2005-07-01,1,2,-1,,-1.0,50,8680,60,1,-1,,-1.0,2,4010,2311,0.0
154,203860651647,2004,1,3,3,2004,12,102,2,2477.1707,41,36,1,2005-07-01,1,2,-1,,-1.0,50,8680,60,1,-1,,-1.0,2,4010,2311,0.0
155,203860651647,2004,1,4,4,2004,12,102,2,2501.584,41,36,1,2005-07-01,1,2,-1,,-1.0,50,8680,60,1,-1,,-1.0,2,4010,2311,0.0
